0:0:0:0:0:0:0:1 - - [30/Apr/2025:16:48:30 +0530] "GET /Depression_prediction_model/js/bootstrap-select.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2025:16:48:30 +0530] "GET /Depression_prediction_model/js/utils.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2025:16:48:30 +0530] "GET /Depression_prediction_model/js/perfect-scrollbar.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2025:16:48:30 +0530] "GET /Depression_prediction_model/images/layout_img/pattern_h.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2025:16:48:30 +0530] "GET /Depression_prediction_model/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2025:16:48:59 +0530] "POST /Depression_prediction_model/userinputtest HTTP/1.1" 200 12158
0:0:0:0:0:0:0:1 - - [30/Apr/2025:16:48:59 +0530] "GET /Depression_prediction_model/css/colors.css HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [30/Apr/2025:16:49:04 +0530] "GET /Depression_prediction_model/UserInputPage.jsp HTTP/1.1" 200 8012
0:0:0:0:0:0:0:1 - - [30/Apr/2025:16:49:04 +0530] "GET /Depression_prediction_model/css/colors.css HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [30/Apr/2025:16:49:38 +0530] "POST /Depression_prediction_model/userinputtest HTTP/1.1" 200 12423
0:0:0:0:0:0:0:1 - - [30/Apr/2025:16:49:38 +0530] "GET /Depression_prediction_model/css/colors.css HTTP/1.1" 404 1078
